# Past performance does not guarantee future results. This tool is for informational purposes only. Gamble responsibly.
bucket,n,wins,losses,pushes,win_rate,push_rate,roi_neg110,roi_neg105,p_value,ci_low,ci_high,insufficient_sample,by_season,profitable_seasons_pct
home_fav_14.5+,92,42,48,2,0.466667,0.021739,-0.106719,-0.086957,0.883119,0.367084,0.568978,0,2005:0.2500;2006:0.3333;2007:0.4444;2008:0.3333;2009:0.6000;2010:0.3333;2011:0.4000;2012:0.2500;2013:0.1667;2014:1.0000;2015:1.0000;2016:1.0000;2017:0.6667;2018:0.4000;2019:0.4286;2020:0.5000;2021:0.8333;2022:0.5000;2023:0.2500;2024:0.5000,0.3000
home_fav_10.5_14,340,166,171,3,0.492582,0.008824,-0.059091,-0.037955,0.885342,0.439590,0.545741,0,2004:0.3077;2005:0.4667;2006:0.3846;2007:0.3889;2008:0.3333;2009:0.5000;2010:0.4167;2011:0.6500;2012:0.5294;2013:0.6250;2014:0.4706;2015:0.4444;2016:0.7778;2017:0.5238;2018:0.4375;2019:0.4706;2020:0.4167;2021:0.7368;2022:0.3636;2023:0.5385;2024:0.6000,0.3333
home_fav_7.5_10,611,299,303,9,0.496678,0.014730,-0.051034,-0.029850,0.915171,0.456885,0.536512,0,2004:0.4286;2005:0.6000;2006:0.5862;2007:0.6486;2008:0.5172;2009:0.5250;2010:0.5600;2011:0.4839;2012:0.4667;2013:0.4667;2014:0.5517;2015:0.3846;2016:0.5000;2017:0.3333;2018:0.3750;2019:0.4000;2020:0.4583;2021:0.6154;2022:0.5185;2023:0.4400;2024:0.5000,0.3333
home_fav_3.5_7,1469,697,741,31,0.484701,0.021103,-0.073086,-0.052546,0.998623,0.458945,0.510538,0,2004:0.5057;2005:0.4915;2006:0.4853;2007:0.5263;2008:0.4225;2009:0.4211;2010:0.4932;2011:0.5000;2012:0.5217;2013:0.5735;2014:0.4722;2015:0.4133;2016:0.4828;2017:0.5574;2018:0.4783;2019:0.4225;2020:0.4839;2021:0.3788;2022:0.4559;2023:0.5522;2024:0.5507,0.2381
home_fav_1_3,1171,528,588,55,0.473118,0.046968,-0.092229,-0.072710,0.999685,0.443968,0.502453,0,2004:0.5122;2005:0.6471;2006:0.3750;2007:0.4419;2008:0.5345;2009:0.4359;2010:0.4561;2011:0.3922;2012:0.3878;2013:0.4898;2014:0.4333;2015:0.4706;2016:0.5455;2017:0.5111;2018:0.4510;2019:0.4565;2020:0.4231;2021:0.3529;2022:0.4776;2023:0.5152;2024:0.5410,0.1905
pickem,29,14,15,0,0.482759,0.000000,-0.078370,-0.057471,0.735388,0.313861,0.655690,1,2004:0.2500;2005:0.4000;2006:0.0000;2007:1.0000;2010:0.8000;2012:0.5000;2013:1.0000;2015:0.2500;2016:0.5000;2017:0.0000,0.3000
home_dog_1_3,915,430,439,46,0.494822,0.050273,-0.052558,-0.032214,0.959438,0.461676,0.528013,0,2004:0.5250;2005:0.3514;2006:0.5143;2007:0.4773;2008:0.3939;2009:0.4667;2010:0.5000;2011:0.5789;2012:0.5333;2013:0.5682;2014:0.5000;2015:0.5435;2016:0.4773;2017:0.5094;2018:0.5714;2019:0.5854;2020:0.4884;2021:0.4103;2022:0.4783;2023:0.4545;2024:0.4375,0.3333
home_dog_3.5_7,761,357,387,17,0.479839,0.022339,-0.082069,-0.061761,0.992588,0.444136,0.515749,0,2004:0.4000;2005:0.3793;2006:0.6061;2007:0.4667;2008:0.4667;2009:0.3636;2010:0.5128;2011:0.4286;2012:0.4250;2013:0.5312;2014:0.5250;2015:0.5455;2016:0.4643;2017:0.4375;2018:0.5357;2019:0.3810;2020:0.5652;2021:0.5106;2022:0.5789;2023:0.5357;2024:0.4118,0.3810
home_dog_7.5_10,190,105,85,0,0.552632,0.000000,0.055024,0.078947,0.235106,0.481584,0.621593,0,2004:0.4000;2005:0.1667;2006:0.7778;2007:0.5455;2008:0.5000;2009:0.7143;2010:0.5000;2011:0.4286;2012:1.0000;2013:0.1429;2014:0.6000;2015:0.5714;2016:0.2857;2017:0.5455;2018:0.5000;2019:0.5714;2020:0.7692;2021:0.4167;2022:0.6364;2023:0.5556;2024:1.0000,0.5714
home_dog_10.5_14,83,47,34,2,0.580247,0.024096,0.105148,0.129662,0.182657,0.471537,0.681690,0,2004:0.0000;2005:0.6667;2006:1.0000;2007:0.8000;2008:0.5000;2009:0.6000;2010:0.0000;2011:1.0000;2012:0.5000;2013:1.0000;2014:0.0000;2015:0.3333;2016:0.5000;2017:1.0000;2018:0.2857;2019:0.2500;2020:0.4000;2021:0.6364;2022:1.0000;2023:0.3333;2024:1.0000,0.4762
home_dog_14.5+,19,7,12,0,0.368421,0.000000,-0.296651,-0.280702,0.944155,0.191495,0.589605,1,2005:0.0000;2007:0.3333;2009:0.3333;2012:1.0000;2013:0.0000;2018:0.0000;2019:0.0000;2020:0.5000;2021:1.0000;2022:1.0000;2024:0.0000,0.2727
