# Edge report: every bucket shown, ranked by point_roi desc. Not a buy signal — a measurement.
# mde80_roi = smallest TRUE edge detectable at this n (80% power, p<0.10). breakeven_needed_roi = observed edge needed for the CI lower bound to clear breakeven at this n. Power columns use normal-approximation; realized CI/p-value use exact-binomial (ATS/totals) or bootstrap (ML).
# Past performance does not guarantee future results. This tool is for informational purposes only. Gamble responsibly.
market,bucket,n,win_rate,point_roi,ci_low,ci_high,p_value,profitable_seasons_pct,mde80_roi,breakeven_needed_roi
ats,home_dog_10.5_14,83,0.580247,0.105148,-0.099793,0.301408,0.182657,0.4762,0.218855,0.219058
ats,home_dog_7.5_10,190,0.552632,0.055024,-0.080612,0.186678,0.235106,0.5714,0.145748,0.145455
ml,ml_heavy_fav,252,,-0.001246,-0.059105,0.052546,0.494500,0.4000,0.060474,0.055826
ml,ml_small_fav,588,,-0.003575,-0.071349,0.063013,0.540500,0.6000,0.072775,0.067181
ml,ml_big_fav,149,,-0.013398,-0.101150,0.072747,0.626000,0.4000,0.094189,0.086949
totals,total_le_39_5,968,0.514136,-0.018219,-0.078971,0.041820,0.736054,0.4762,0.064922,0.061044
ml,ml_slight_dog,198,,-0.022556,-0.164523,0.132888,0.620000,0.4000,0.161088,0.148705
ml,ml_small_dog,532,,-0.027962,-0.134006,0.076381,0.699500,0.6000,0.113953,0.105193
ml,ml_slight_fav,76,,-0.033059,-0.233929,0.174216,0.610500,0.4000,0.221066,0.204072
totals,total_40_42_5,1180,0.505181,-0.034900,-0.090480,0.019288,0.902928,0.4286,0.058818,0.054854
ml,ml_mid_fav,339,,-0.049823,-0.120525,0.020255,0.916500,0.2000,0.076251,0.070390
ats,home_fav_7.5_10,611,0.496678,-0.051034,-0.127765,0.024250,0.915171,0.3333,0.081645,0.077965
ats,home_dog_1_3,915,0.494822,-0.052558,-0.118619,0.008025,0.959438,0.3333,0.066769,0.061997
ats,home_fav_10.5_14,340,0.492582,-0.059091,-0.160783,0.041869,0.885342,0.3333,0.109260,0.106150
totals,total_ge_52,353,0.489855,-0.063353,-0.164757,0.035539,0.905962,0.4000,0.107244,0.103271
ml,ml_mid_dog,313,,-0.067859,-0.234026,0.110096,0.767500,0.2000,0.186389,0.172061
totals,total_43_45_5,1463,0.486034,-0.070590,-0.121400,-0.022692,0.998055,0.0952,0.052838,0.049152
ats,home_fav_3.5_7,1469,0.484701,-0.073086,-0.123832,-0.025337,0.998623,0.2381,0.052730,0.048765
totals,total_46_48_5,1176,0.483204,-0.076531,-0.132200,-0.022628,0.997428,0.2857,0.058918,0.055195
ats,pickem,29,0.482759,-0.078370,-0.400811,0.251772,0.735388,0.3000,0.361824,0.382445
ats,home_dog_3.5_7,761,0.479839,-0.082069,-0.152104,-0.015388,0.992588,0.3810,0.073190,0.068690
ml,ml_pickem,132,,-0.087616,-0.267256,0.083965,0.840000,0.6000,0.190234,0.175611
ats,home_fav_1_3,1171,0.473118,-0.092229,-0.152425,-0.040772,0.999685,0.1905,0.059043,0.054809
ats,home_fav_14.5+,92,0.466667,-0.106719,-0.299203,0.086231,0.883119,0.3000,0.208140,0.203557
ml,ml_heavy_dog,162,,-0.129691,-0.446728,0.233951,0.770500,0.4000,0.368680,0.340340
totals,total_49_51_5,540,0.446125,-0.145286,-0.228145,-0.066985,0.999852,0.1905,0.086821,0.081818
ats,home_dog_14.5+,19,0.368421,-0.296651,-0.634419,0.125610,0.944155,0.2727,0.439116,0.507177
ml,ml_big_dog,67,,-0.483731,-0.805224,-0.098358,0.994500,0.0000,0.382864,0.353433
